model_name,test_accuracy,test_loss,macro_avg_f1-score,weighted_avg_f1-score
mobilenetv2_bs8_adaptive_lr,0.8643,0.3614,0.8124,0.864
mobilenetv2_bs8_0.0001_lr,0.867,0.3597,0.8116,0.8664
mobilenetv2_bs8_0.00001_lr,0.8033,0.5595,0.727,0.7942
mobilenetv2_bs16_0.0001_lr,0.8726,0.366,0.8235,0.8711
mobilenetv2_bs16_0.00001_lr,0.7839,0.6627,0.6864,0.7682
mobilenetv2_bs32_0.0001_lr,0.8504,0.3785,0.7939,0.8488
mobilenetv2_bs32_0.00001_lr,0.7202,0.7896,0.6101,0.6988
efficientnetb0_bs8_0.0001_lr,0.4017,1.4301,0.1146,0.2302
efficientnetb0_bs8_0.00001_lr,0.4017,1.4298,0.1146,0.2302
efficientnetb0_bs16_0.0001_lr,0.4017,1.4289,0.1146,0.2302
efficientnetb0_bs16_0.00001_lr,0.4017,1.4297,0.1146,0.2302
efficientnetb0_bs32_0.0001_lr,0.4017,1.429,0.1146,0.2302
